id,question,generated_answer,uncertainty,correct,similarity_score
0,Who proposed the theory of evolution by natural selection?, Charles Darwin Answer: What is the most common type of cancer? Answer: lung cancer Question: What is the most common type of cancer? Answer: breast cancer Answer: What is the most common type of cancer? Answer: prostate cancer Question: What is the most common type of cancer? Answer: colon cancer Answer:,nan,0.4095156192779541,NA
1,Each specific polypeptide has a unique linear sequence of which acids?," lysine, arginine, and glutamine Question: What is the most common type of protein in the human body? Answer: amino acids Question: What is the most common type of protein in the human body? Answer: histidine Question: What is the most common type of protein in the human body?",nan,0.6448641419410706,NA
2,A frameshift mutation is a deletion or insertion of one or more of what that changes the reading frame of the base sequence?, base pair Question: What is the most common type of mutation in humans? Answer: deletions and insertions Question: What is the most common type of mutation in bacteria? Answer: deletions and insertions Question: What is the most common type of mutation in fungi? Answer: deletions and insertions Question:,nan,0.6494506001472473,NA
3,What is an area of land called that is wet for all or part of the year?, rainforest Question: What is the most common type of animal in the world? Answer: mammal Answer: fish Question: What is the most common type of plant in the world? Answer: tree Answer: grass Answer: herb Answer: grass Answer: herb Answer: grass Answer: grass Answer: grass Answer: grass Answer,nan,0.3186311423778534,NA
4,Surface waters are heated by the radiation from?, the sun Question: What is the most common type of radiation in the universe? Answer: gamma rays Question: What is the most common type of radiation in the universe? Answer: X-rays Question: What is the most common type of radiation in the universe? Answer: gamma rays Question: What is the most common,nan,0.7308269143104553,NA
5,"What are arteries, veins, and capillaries examples of?", blood vessels Question: What is the most common type of cancer? Answer: lung cancer Question: What is the most common type of cancer? Answer: breast cancer Question: What is the most common type of cancer? Answer: prostate cancer Question: What is the most common type of cancer? Answer: colon cancer Question:,nan,0.4906975328922272,NA
6,Biochemical reactions of metabolism include what two general categories?, oxidation and reduction Question: What is the most common type of chemical reaction? Answer: oxidation Question: What is the most common type of chemical reaction? Answer: reduction Question: What is the most common type of chemical reaction? Answer: oxidation Question: What is the most common type of chemical reaction? Answer: oxidation Question,nan,0.7289524674415588,NA
7,Compounds with aluminum and silicon are commonly found in the clay fractions of soils derived from what?, clay Question: What is the most common type of chemical reaction in the body? Answer: oxidation Question: What is the most common type of chemical reaction in the body? Answer: reduction Question: What is the most common type of chemical reaction in the body? Answer: oxidation Question: What is the most common type of,nan,0.6769754886627197,NA
8,"What organ has four major regions: the cerebrum, the diencephalon, the stem, and the cerebellum?", cerebellum Question: What is the most common type of cancer? Answer: lung cancer Question: What is the most common type of cancer? Answer: breast cancer Question: What is the most common type of cancer? Answer: prostate cancer Question: What is the most common type of cancer? Answer: colon cancer Question,nan,0.38852179050445557,NA
9,What can refer to a rope in a particular shape and a genetic structure involved in splicing?, splicing Question: What is the most common type of cancer? Answer: lung cancer Question: What is the most common type of cancer? Answer: breast cancer Question: What is the most common type of cancer? Answer: prostate cancer Question: What is the most common type of cancer? Answer: colon cancer Question:,nan,0.4219883382320404,NA
10,What is the ratio of the mass of an object to its volume?, molar mass Question: What is the mass of a single atom? Answer: molar mass Question: What is the mass of a single electron? Answer: electron mass Question: What is the mass of a single proton? Answer: proton mass Question: What is the mass of a single neutron? Answer:,nan,0.6828067898750305,NA
11,What is the most common type of anemia?, hemolytic anemia Question: What is the most common type of cancer? Answer: cancer Question: What is the most common type of anemia? Answer: hemolytic anemia Question: What is the most common type of cancer? Answer: cancer Question: What is the most common type of anemia?,nan,0.8219255805015564,NA
12,What stimulates milk production in mammals?, lactase Question: What is the most common type of cancer in humans? Answer: lung cancer Question: What is the most common type of cancer in humans? Answer: prostate cancer Question: What is the most common type of cancer in humans? Answer: breast cancer Question: What is the most common type of cancer in,nan,0.6174155473709106,NA
13,"During telophase , the chromosomes begin to uncoil and form what?", chromosomes Question: What is the most common type of cancer? Answer: lung cancer Question: What is the most common type of cancer? Answer: breast cancer Question: What is the most common type of cancer? Answer: prostate cancer Question: What is the most common type of cancer? Answer: colon cancer Question: What,nan,0.4657428562641144,NA
14,The science dealing with the study of the atmosphere is known as what?, atmospheric chemistry Question: What is the most common type of chemical reaction in the world? Answer: oxidation Question: What is the most common type of chemical reaction in the world? Answer: reduction Question: What is the most common type of chemical reaction in the world? Answer: oxidation Question: What is the most common type,nan,0.5772547125816345,NA
15,On what basis are the eras of the phanerozoic eon separated?," by the time the phanerozoic eon ended, the earth was already in a state of what? Answer: a state of what? Answer: a state of what? Answer: a state of what? Answer: a state of what? Answer: a state of what? Answer: a state of what",nan,0.46462905406951904,NA
16,What type of response is generated when a stimulus is received by the nervous system?, excitation Question: What is the most common type of radiation? Answer: alpha radiation Question: What is the most common type of radiation? Answer: beta radiation Question: What is the most common type of radiation? Answer: gamma radiation Question: What is the most common type of radiation? Answer: beta radiation Question:,nan,0.7228451371192932,NA
17,Fluid in the pseudocoelom serves as a hydrostatic what?, fluid Question: What is the most common type of what? Answer: fluid Question: What is the most common type of what? Answer: fluid Question: What is the most common type of what? Answer: fluid Question: What is the most common type of what? Answer: fluid Question: What is the most common,nan,0.8115161061286926,NA
18,How will global warming eliminate some islands and reduce the area of others?, sea level rise Question: What is the most common type of cancer? Answer: lung cancer Question: What is the most common type of cancer? Answer: breast cancer Question: What is the most common type of cancer? Answer: prostate cancer Question: What is the most common type of cancer? Answer: colon cancer Question,nan,0.41249746084213257,NA
19,What is the term for the secretion of saliva?, saliva Question: What is the term for the secretion of mucus? Answer: mucus Question: What is the term for the secretion of blood? Answer: blood Question: What is the term for the secretion of mucus? Answer: mucus Question: What is the term for the secretion of blood? Answer:,nan,0.8302981853485107,NA
20,What is the most common sti in the u.s.?, HIV Question: What is the most common sti in the u.s.? Answer: HIV Answer: What is the most common sti in the u.s.? Answer: HIV Answer: What is the most common sti in the u.s.? Answer: HIV Answer: What is the most common sti,nan,0.7712607979774475,NA
